Status do Arquivo: Final
RptDt;TckrSymb;ISIN;SgmtNm;MinPric;MaxPric;TradAvrgPric;LastPric;OscnPctg;AdjstdQt;AdjstdQtTax;RefPric;TradQty;FinInstrmQty;NtlFinVol
2025-01-27;A1AP34;BRA1APBDR001;CASH;17,71;18,14;17,94;17,98;1,81;;;;5;5;89,7
2025-01-27;A1DI34;BRA1DIBDR000;CASH;647,68;647,68;647,68;647,68;-0,2;;;;1;100;64768
2025-01-27;A1DM34;BRA1DMBDR002;CASH;297,6;304,77;297,84;304,77;2,82;;;;2;29;8637,57
2025-01-27;A1EG34;BRA1EGBDR002;CASH;38,66;39,18;39,02;39,15;1,47;;;;5;23;897,53
2025-01-27;A1ES34;BRA1ESBDR007;CASH;66,75;69,25;67,33;66,92;-0,72;;;;7;83;5588,49
2025-01-27;A1IV34;BRA1IVBDR002;CASH;52,48;52,94;52,85;52,48;-0,7;;;;2;21;1109,9
2025-01-27;A1LB34;BRA1LBBDR008;CASH;21,6;21,82;21,64;21,82;-0,81;;;;8;494;10692,68
2025-01-27;A1LK34;BRA1LKBDR009;CASH;414;414;414;414;2,47;;;;1;70;28980
2025-01-27;A1LL34;BRA1LLBDR007;CASH;92,5;94,5;93,74;94;-0,52;;;;10;5802;543884,5
2025-01-27;A1LN34;BRA1LNBDR003;CASH;82,22;84,38;84,34;82,22;0,14;;;;2;61;5145,02
2025-01-27;A1MD34;BRA1MDBDR002;CASH;83,26;87,51;85,44;84,17;-6,78;;;;2346;67919;5803417,6
2025-01-27;A1MDB100;BRA1MD9B0023;EQUITY CALL;;;;;;;;1,03;;;
2025-01-27;A1MDB102;BRA1MD9B0049;EQUITY CALL;;;;;;;;0,89;;;
2025-01-27;A1MDB104;BRA1MD9B0072;EQUITY CALL;;;;;;;;0,77;;;
2025-01-27;A1MDB106;BRA1MD9B0080;EQUITY CALL;;;;;;;;0,67;;;
2025-01-27;A1MDB108;BRA1MD9B0064;EQUITY CALL;;;;;;;;0,58;;;
2025-01-27;A1MDB110;BRA1MD9B0098;EQUITY CALL;;;;;;;;0,5;;;
2025-01-27;A1MDB880;BRA1MD9B00C0;EQUITY CALL;;;;;;;;3,23;;;
2025-01-27;A1MDB890;BRA1MD9B00B2;EQUITY CALL;;;;;;;;2,91;;;
2025-01-27;A1MDB900;BRA1MD9B00A4;EQUITY CALL;;;;;;;;2,62;;;
2025-01-27;A1MDB910;BRA1MD9B00D8;EQUITY CALL;;;;;;;;2,36;;;
2025-01-27;A1MDB920;BRA1MD9B00E6;EQUITY CALL;;;;;;;;2,13;;;
2025-01-27;A1MDB930;BRA1MD9B0007;EQUITY CALL;;;;;;;;1,93;;;
2025-01-27;A1MDB940;BRA1MD9B00F3;EQUITY CALL;;;;;;;;1,75;;;
2025-01-27;A1MDB970;BRA1MD9B0031;EQUITY CALL;;;;;;;;1,33;;;
2025-01-27;A1MDB980;BRA1MD9B0056;EQUITY CALL;;;;;;;;1,22;;;
2025-01-27;A1MDB990;BRA1MD9B0015;EQUITY CALL;;;;;;;;1,12;;;
2025-01-27;A1MDC100;BRA1MD9C0097;EQUITY CALL;;;;;;;;2,41;;;
2025-01-27;A1MDC102;BRA1MD9C0089;EQUITY CALL;;;;;;;;2,14;;;
2025-01-27;A1MDC104;BRA1MD9C0063;EQUITY CALL;;;;;;;;1,92;;;
2025-01-27;A1MDC106;BRA1MD9C0022;EQUITY CALL;;;;;;;;1,73;;;
2025-01-27;A1MDC108;BRA1MD9C0014;EQUITY CALL;;;;;;;;1,57;;;
2025-01-27;A1MDC880;BRA1MD9C00B0;EQUITY CALL;;;;;;;;5,37;;;
2025-01-27;A1MDC890;BRA1MD9C00C8;EQUITY CALL;;;;;;;;5;;;
2025-01-27;A1MDC900;BRA1MD9C00A2;EQUITY CALL;;;;;;;;4,66;;;
2025-01-27;A1MDC910;BRA1MD9C00D6;EQUITY CALL;;;;;;;;4,35;;;
2025-01-27;A1MDC920;BRA1MD9C00E4;EQUITY CALL;;;;;;;;4,06;;;
2025-01-27;A1MDC930;BRA1MD9C0006;EQUITY CALL;;;;;;;;3,79;;;
2025-01-27;A1MDC940;BRA1MD9C00F1;EQUITY CALL;;;;;;;;3,54;;;
2025-01-27;A1MDC960;BRA1MD9C0048;EQUITY CALL;;;;;;;;3,1;;;
2025-01-27;A1MDC970;BRA1MD9C0030;EQUITY CALL;;;;;;;;2,9;;;
2025-01-27;A1MDC980;BRA1MD9C0055;EQUITY CALL;;;;;;;;2,72;;;
2025-01-27;A1MDC990;BRA1MD9C0071;EQUITY CALL;;;;;;;;2,56;;;
2025-01-27;A1MDN100;BRA1MD9N0086;EQUITY PUT;;;;;;;;15,95;;;
2025-01-27;A1MDN102;BRA1MD9N0045;EQUITY PUT;;;;;;;;17,78;;;
2025-01-27;A1MDN104;BRA1MD9N0060;EQUITY PUT;;;;;;;;19,64;;;
2025-01-27;A1MDN106;BRA1MD9N0011;EQUITY PUT;;;;;;;;21,53;;;
2025-01-27;A1MDN108;BRA1MD9N0078;EQUITY PUT;;;;;;;;23,42;;;
2025-01-27;A1MDN110;BRA1MD9N0094;EQUITY PUT;;;;;;;;25,32;;;
2025-01-27;A1MDN880;BRA1MD9N00A9;EQUITY PUT;;;;;;;;6,26;;;
2025-01-27;A1MDN890;BRA1MD9N00B7;EQUITY PUT;;;;;;;;6,92;;;
2025-01-27;A1MDN900;BRA1MD9N00C5;EQUITY PUT;;;;;;;;7,62;;;
2025-01-27;A1MDN910;BRA1MD9N00E1;EQUITY PUT;;;;;;;;8,36;;;
2025-01-27;A1MDN920;BRA1MD9N00D3;EQUITY PUT;;;;;;;;9,12;;;
2025-01-27;A1MDN930;BRA1MD9N0003;EQUITY PUT;;;;;;;;9,9;;;
2025-01-27;A1MDN940;BRA1MD9N00F8;EQUITY PUT;;;;;;;;10,71;;;
2025-01-27;A1MDN970;BRA1MD9N0029;EQUITY PUT;;;;;;;;13,27;;;
2025-01-27;A1MDN980;BRA1MD9N0052;EQUITY PUT;;;;;;;;14,15;;;
2025-01-27;A1MDN990;BRA1MD9N0037;EQUITY PUT;;;;;;;;15,04;;;
2025-01-27;A1MDO100;BRA1MD9O0036;EQUITY PUT;;;;;;;;16,43;;;
2025-01-27;A1MDO102;BRA1MD9O0010;EQUITY PUT;;;;;;;;18,13;;;
2025-01-27;A1MDO104;BRA1MD9O0085;EQUITY PUT;;;;;;;;19,87;;;
2025-01-27;A1MDO106;BRA1MD9O0093;EQUITY PUT;;;;;;;;21,64;;;
2025-01-27;A1MDO108;BRA1MD9O0069;EQUITY PUT;;;;;;;;23,44;;;
2025-01-27;A1MDO880;BRA1MD9O00A7;EQUITY PUT;;;;;;;;7,61;;;
2025-01-27;A1MDO890;BRA1MD9O00C3;EQUITY PUT;;;;;;;;8,22;;;
2025-01-27;A1MDO900;BRA1MD9O00B5;EQUITY PUT;;;;;;;;8,87;;;
2025-01-27;A1MDO910;BRA1MD9O00E9;EQUITY PUT;;;;;;;;9,53;;;
2025-01-27;A1MDO920;BRA1MD9O00D1;EQUITY PUT;;;;;;;;10,22;;;
2025-01-27;A1MDO930;BRA1MD9O0002;EQUITY PUT;;;;;;;;10,93;;;
2025-01-27;A1MDO940;BRA1MD9O00F6;EQUITY PUT;;;;;;;;11,67;;;
2025-01-27;A1MDO960;BRA1MD9O0077;EQUITY PUT;;;;;;;;13,19;;;
2025-01-27;A1MDO970;BRA1MD9O0028;EQUITY PUT;;;;;;;;13,98;;;
2025-01-27;A1MDO980;BRA1MD9O0044;EQUITY PUT;;;;;;;;14,78;;;
